Symbol,Name,Sector,industry,Exchange
ITCB,Ita? CorpBanca,Finance,Commercial Banks,NYSE
ITCI,Intra-Cellular Therapies Inc.,Health Care,Major Pharmaceuticals,NASDAQ
ITGR,Integer Holdings Corporation,Miscellaneous,Industrial Machinery/Components,NYSE
ITI,"Iteris, Inc.",Capital Goods,Telecommunications Equipment,NASDAQ
ITIC,Investors Title Company,Finance,Specialty Insurers,NASDAQ
ITMR,Itamar Medical Ltd.,Health Care,Medical/Dental Instruments,NASDAQ
ITP,"IT Tech Packaging, Inc.",Consumer Durables,Containers/Packaging,AMEX
ITRI,"Itron, Inc.",Capital Goods,Electrical Products,NASDAQ
ITRM,Iterum Therapeutics plc,Health Care,Major Pharmaceuticals,NASDAQ
ITRN,Ituran Location and Control Ltd.,Technology,Electronic Components,NASDAQ
ITT,ITT Inc.,Capital Goods,Fluid Controls,NYSE
ITUB,Itau Unibanco Banco Holding SA,Finance,Major Banks,NYSE
ITW,Illinois Tool Works Inc.,Technology,Industrial Machinery/Components,NYSE
IVAC,"Intevac, Inc.",Technology,Industrial Machinery/Components,NASDAQ
IVC,Invacare Corporation,Health Care,Industrial Specialties,NYSE
IVR,INVESCO MORTGAGE CAPITAL INC,Consumer Services,Real Estate Investment Trusts,NYSE
IVZ,Invesco Plc,Finance,Investment Managers,NYSE
IX,Orix Corp Ads,Finance,Diversified Financial Services,NYSE
IZEA,"IZEA Worldwide, Inc.",Consumer Services,Advertising,NASDAQ
JACK,Jack In The Box Inc.,Consumer Services,Restaurants,NASDAQ
JAG,Jagged Peak Energy Inc.,Energy,Oil & Gas Production,NYSE
JAGX,"Jaguar Health, Inc.",Health Care,Major Pharmaceuticals,NASDAQ
JAKK,"JAKKS Pacific, Inc.",Consumer Non-Durables,Recreational Products/Toys,NASDAQ
JASN,"Jason Industries, Inc.",Consumer Durables,Miscellaneous manufacturing industries,NASDAQ
JASNW,"Jason Industries, Inc.",Consumer Durables,Miscellaneous manufacturing industries,NASDAQ
JAX,"J. Alexander&#39;s Holdings, Inc.",Consumer Services,Restaurants,NYSE
JAZZ,Jazz Pharmaceuticals plc,Health Care,Major Pharmaceuticals,NASDAQ
JBGS,JBG SMITH Properties,Consumer Services,Real Estate Investment Trusts,NYSE
